onet_code,skill_clean,importance,skill,source
11-1011.00,active learning,3.75,Active Learning,skill
11-1011.00,active listening,4.0,Active Listening,skill
11-1011.00,administration and management,4.78,Administration and Management,knowledge
11-1011.00,adobe acrobat,3.0,Adobe Acrobat,tech
11-1011.00,adsense tracker,3.0,AdSense Tracker,tech
11-1011.00,atlassian jira,3.0,Atlassian JIRA,tech
11-1011.00,blackbaud the raiser's edge,3.0,Blackbaud The Raiser's Edge,tech
11-1011.00,communications and media,3.02,Communications and Media,knowledge
11-1011.00,complex problem solving,4.38,Complex Problem Solving,skill
11-1011.00,computerease construction accounting software,3.0,ComputerEase construction accounting software,tech
11-1011.00,computers and electronics,3.82,Computers and Electronics,knowledge
11-1011.00,coordination,4.25,Coordination,skill
11-1011.00,critical thinking,4.38,Critical Thinking,skill
11-1011.00,customer and personal service,4.39,Customer and Personal Service,knowledge
11-1011.00,database reporting software,3.0,Database reporting software,tech
11-1011.00,databox,3.0,Databox,tech
11-1011.00,economics and accounting,4.04,Economics and Accounting,knowledge
11-1011.00,education and training,3.52,Education and Training,knowledge
11-1011.00,email software,3.0,Email software,tech
11-1011.00,engineering and technology,3.05,Engineering and Technology,knowledge
11-1011.00,english language,4.41,English Language,knowledge
11-1011.00,enterprise resource planning erp software,3.0,Enterprise resource planning ERP software,tech
11-1011.00,exact software macola es labor performance,3.0,Exact Software Macola ES Labor Performance,tech
11-1011.00,extensible markup language xml,3.0,Extensible markup language XML,tech
11-1011.00,fund accounting software,3.0,Fund accounting software,tech
11-1011.00,geography,2.69,Geography,knowledge
11-1011.00,graphic presentation software,3.0,Graphic presentation software,tech
11-1011.00,halogen e360,3.0,Halogen e360,tech
11-1011.00,halogen epraisal,3.0,Halogen ePraisal,tech
11-1011.00,hcss heavybid,3.0,HCSS HeavyBid,tech
11-1011.00,hcss heavyjob,3.0,HCSS HeavyJob,tech
11-1011.00,human resource information system (hris),3.0,Human resource information system (HRIS),tech
11-1011.00,infor ssa human capital management,3.0,Infor SSA Human Capital Management,tech
11-1011.00,instructing,3.38,Instructing,skill
11-1011.00,intuit quickbooks,3.0,Intuit QuickBooks,tech
11-1011.00,judgment and decision making,4.75,Judgment and Decision Making,skill
11-1011.00,law and government,3.48,Law and Government,knowledge
11-1011.00,learning strategies,3.12,Learning Strategies,skill
11-1011.00,listserv software,3.0,Listserv software,tech
11-1011.00,lyris hq web-analytics solution,3.0,Lyris HQ Web-Analytics Solution,tech
11-1011.00,management of financial resources,4.25,Management of Financial Resources,skill
11-1011.00,management of material resources,4.0,Management of Material Resources,skill
11-1011.00,management of personnel resources,4.25,Management of Personnel Resources,skill
11-1011.00,mathematics,3.6,Mathematics,skill
11-1011.00,mentimeter,3.0,Mentimeter,tech
11-1011.00,microsoft access,3.0,Microsoft Access,tech
11-1011.00,microsoft dynamics,3.0,Microsoft Dynamics,tech
11-1011.00,microsoft dynamics ax,3.0,Microsoft Dynamics AX,tech
11-1011.00,microsoft dynamics gp,3.0,Microsoft Dynamics GP,tech
11-1011.00,microsoft excel,3.0,Microsoft Excel,tech
11-1011.00,microsoft frx,3.0,Microsoft FRx,tech
11-1011.00,microsoft office software,3.0,Microsoft Office software,tech
11-1011.00,microsoft outlook,3.0,Microsoft Outlook,tech
11-1011.00,microsoft powerpoint,3.0,Microsoft PowerPoint,tech
11-1011.00,microsoft project,3.0,Microsoft Project,tech
11-1011.00,microsoft publisher,3.0,Microsoft Publisher,tech
11-1011.00,microsoft sharepoint,3.0,Microsoft SharePoint,tech
11-1011.00,microsoft word,3.0,Microsoft Word,tech
11-1011.00,monitoring,4.0,Monitoring,skill
11-1011.00,nedstat sitestat,3.0,Nedstat Sitestat,tech
11-1011.00,negotiation,4.12,Negotiation,skill
11-1011.00,norchard solutions succession wizard,3.0,Norchard Solutions Succession Wizard,tech
11-1011.00,online advertising reporting software,3.0,Online advertising reporting software,tech
11-1011.00,operations analysis,3.12,Operations Analysis,skill
11-1011.00,oracle e-business suite,3.0,Oracle E-Business Suite,tech
11-1011.00,oracle peoplesoft,3.0,Oracle PeopleSoft,tech
11-1011.00,oracle siebel server sync,3.0,Oracle Siebel Server Sync,tech
11-1011.00,personnel and human resources,4.48,Personnel and Human Resources,knowledge
11-1011.00,persuasion,4.0,Persuasion,skill
11-1011.00,php,3.0,PHP,tech
11-1011.00,production and processing,2.71,Production and Processing,knowledge
11-1011.00,psychology,3.09,Psychology,knowledge
11-1011.00,public safety and security,3.88,Public Safety and Security,knowledge
11-1011.00,reading comprehension,4.12,Reading Comprehension,skill
11-1011.00,relational database management software,3.0,Relational database management software,tech
11-1011.00,sage 50 accounting,3.0,Sage 50 Accounting,tech
11-1011.00,sales and marketing,3.81,Sales and Marketing,knowledge
11-1011.00,sap software,3.0,SAP software,tech
11-1011.00,service orientation,3.12,Service Orientation,skill
11-1011.00,smugmug flickr,3.0,SmugMug Flickr,tech
11-1011.00,social perceptiveness,4.12,Social Perceptiveness,skill
11-1011.00,sociology and anthropology,2.88,Sociology and Anthropology,knowledge
11-1011.00,speaking,4.25,Speaking,skill
11-1011.00,structured query language sql,3.0,Structured query language SQL,tech
11-1011.00,systems analysis,4.12,Systems Analysis,skill
11-1011.00,systems evaluation,4.25,Systems Evaluation,skill
11-1011.00,telecommunications,2.59,Telecommunications,knowledge
11-1011.00,time management,4.0,Time Management,skill
11-1011.00,web browser software,3.0,Web browser software,tech
11-1011.00,writing,4.12,Writing,skill
11-1011.03,active learning,3.75,Active Learning,skill
11-1011.03,active listening,4.0,Active Listening,skill
11-1011.03,adobe acrobat,3.0,Adobe Acrobat,tech
11-1011.03,adobe photoshop,3.0,Adobe Photoshop,tech
11-1011.03,complex problem solving,4.0,Complex Problem Solving,skill
11-1011.03,coordination,3.75,Coordination,skill
11-1011.03,critical thinking,4.12,Critical Thinking,skill
11-1011.03,email software,3.0,Email software,tech
11-1011.03,facebook,3.0,Facebook,tech
11-1011.03,instructing,3.25,Instructing,skill
11-1011.03,judgment and decision making,3.88,Judgment and Decision Making,skill
11-1011.03,learning strategies,3.38,Learning Strategies,skill
11-1011.03,management information systems mis,3.0,Management information systems MIS,tech
11-1011.03,management of financial resources,2.88,Management of Financial Resources,skill
11-1011.03,management of personnel resources,3.12,Management of Personnel Resources,skill
11-1011.03,mathematics,2.88,Mathematics,skill
11-1011.03,microsoft access,3.0,Microsoft Access,tech
11-1011.03,microsoft dynamics gp,3.0,Microsoft Dynamics GP,tech
11-1011.03,microsoft excel,3.0,Microsoft Excel,tech
11-1011.03,microsoft office software,3.0,Microsoft Office software,tech
11-1011.03,microsoft outlook,3.0,Microsoft Outlook,tech
11-1011.03,microsoft powerpoint,3.0,Microsoft PowerPoint,tech
11-1011.03,microsoft project,3.0,Microsoft Project,tech
11-1011.03,microsoft sharepoint,3.0,Microsoft SharePoint,tech
11-1011.03,microsoft word,3.0,Microsoft Word,tech
11-1011.03,monitoring,3.75,Monitoring,skill
11-1011.03,negotiation,3.12,Negotiation,skill
11-1011.03,operations analysis,2.88,Operations Analysis,skill
11-1011.03,persuasion,3.88,Persuasion,skill
11-1011.03,reading comprehension,4.0,Reading Comprehension,skill
11-1011.03,salesforce software,3.0,Salesforce software,tech
11-1011.03,sap software,3.0,SAP software,tech
11-1011.03,scheduling software,3.0,Scheduling software,tech
11-1011.03,service orientation,3.25,Service Orientation,skill
11-1011.03,social perceptiveness,3.88,Social Perceptiveness,skill
11-1011.03,speaking,4.0,Speaking,skill
11-1011.03,structure query language sql,3.0,Structure query language SQL,tech
11-1011.03,systems analysis,3.88,Systems Analysis,skill
11-1011.03,systems evaluation,3.88,Systems Evaluation,skill
11-1011.03,tableau,3.0,Tableau,tech
11-1011.03,teleconferencing software,3.0,Teleconferencing software,tech
11-1011.03,time management,3.38,Time Management,skill
11-1011.03,web browser software,3.0,Web browser software,tech
11-1011.03,writing,4.12,Writing,skill
11-1021.00,act!,3.0,Act!,tech
11-1021.00,actionware,3.0,ActionWare,tech
11-1021.00,active learning,3.62,Active Learning,skill
11-1021.00,active listening,4.0,Active Listening,skill
11-1021.00,administration and management,4.25,Administration and Management,knowledge
11-1021.00,administrative,3.21,Administrative,knowledge
11-1021.00,adobe acrobat,3.0,Adobe Acrobat,tech
11-1021.00,adobe creative cloud software,3.0,Adobe Creative Cloud software,tech
11-1021.00,adobe photoshop,3.0,Adobe Photoshop,tech
11-1021.00,adp workforce now,3.0,ADP Workforce Now,tech
11-1021.00,airtable,3.0,Airtable,tech
11-1021.00,amazon web services aws software,3.0,Amazon Web Services AWS software,tech
11-1021.00,amg teleran salesinsync,3.0,AMG Teleran SalesInSync,tech
11-1021.00,apache hadoop,3.0,Apache Hadoop,tech
11-1021.00,apple final cut pro,3.0,Apple Final Cut Pro,tech
11-1021.00,apple keynote,3.0,Apple Keynote,tech
11-1021.00,apple macos,3.0,Apple macOS,tech
11-1021.00,atlassian confluence,3.0,Atlassian Confluence,tech
11-1021.00,atlassian jira,3.0,Atlassian JIRA,tech
11-1021.00,autodesk autocad,3.0,Autodesk AutoCAD,tech
11-1021.00,avidian technologies prophet,3.0,Avidian Technologies Prophet,tech
11-1021.00,blackbaud the raiser's edge,3.0,Blackbaud The Raiser's Edge,tech
11-1021.00,blackboard software,3.0,Blackboard software,tech
11-1021.00,calendar and scheduling software,3.0,Calendar and scheduling software,tech
11-1021.00,citrix cloud computing software,3.0,Citrix cloud computing software,tech
11-1021.00,cnc mastercam,3.0,CNC Mastercam,tech
11-1021.00,complex problem solving,3.62,Complex Problem Solving,skill
11-1021.00,computer aided manufacturing cam software,3.0,Computer aided manufacturing CAM software,tech
11-1021.00,computers and electronics,2.67,Computers and Electronics,knowledge
11-1021.00,coordination,3.88,Coordination,skill
11-1021.00,critical thinking,3.88,Critical Thinking,skill
11-1021.00,customer and personal service,4.15,Customer and Personal Service,knowledge
11-1021.00,customer information control system cics,3.0,Customer information control system CICS,tech
11-1021.00,database software,3.0,Database software,tech
11-1021.00,datawatch monarch,3.0,Datawatch Monarch,tech
11-1021.00,deacom erp,3.0,Deacom ERP,tech
11-1021.00,delphi technology,3.0,Delphi Technology,tech
